"number","title","pageid","namespace","length","touched"
"1","Anarchism","12","","98244","20220122225455"
"2","Collectivism","5708","","10277","20220110130113"
"3","Conscription","5735","","132676","20220119191116"
"4","Country_Liberal_Party","6468","","41577","20211227125641"
"5","Corporatocracy","6997","","23204","20220116202048"
"6","Distributism","8805","","41743","20220118213241"
"7","Diplomatic_mission","8970","","19890","20220112193157"
"8","Divine_right_of_kings","9137","","31839","20220101120327"
"9","Election","9457","","36207","20220121180754"
"10","Eightfold_path_(policy_analysis)","9970","","3003","20210621113207"
"11","Emperor","10111","","80859","20220122205544"
"12","Egalitarianism","10113","","26718","20211219101754"
"13","Federalism","11542","","40342","20220105185419"
"14","Show_Me_Love_(film)","11585","","26364","20211231001205"
"15","Fasces","11755","","28015","20220120031556"
"16","Human_rights","13831","","87949","20220106164636"
"17","Hierarchy","13998","","57607","20220101062226"
"18","Individualist_anarchism","14936","","224784","20220123112202"
"19","Imperialism","15316","","116688","20220114085649"
"20","Jacobitism","15925","","78818","20220118094157"
"21","Monarch","19012","","61715","20220108165622"
"22","Manifesto","20832","","3433","20220104130002"
"23","Meritocracy","20971","","45336","20220109021400"
"24","Nationalism","21748","","158133","20220118232841"
"25","Objectivism","22256","","69115","20220118191403"
"26","Oligarchy","22315","","21370","20220120013101"
"27","Politics","22986","","75329","20220121174951"
"28","Political_philosophy","23040","","75239","20220106010746"
"29","Propaganda","23203","","79175","20220117090812"
"30","Political_party","23996","","125979","20220113165336"
"31","List_of_pacifist_organisations","24374","","1266","20181216155324"
"32","Outline_of_public_affairs","24493","","7233","20210602233609"
"33","Plutocracy","24561","","25650","20220111102018"
"34","Pan-Slavism","24724","","25314","20220120224705"
"35","Political_fiction","24850","","32377","20210928174042"
"36","Pacifism","24956","","114436","20220111130306"
"37","Public_speaking","25084","","40024","20220110180235"
"38","Real_Irish_Republican_Army","25731","","88505","20220115183223"
"39","Revolution","25964","","26488","20220114040747"
"40","Racial_segregation","26316","","94119","20220118183235"
"41","Rogue_state","26383","","23763","20220113032512"
"42","Secularism","27113","","27456","20220122004552"
"43","Self-determination","29269","","144087","20220121002255"
"44","Tradition","30067","","41031","20220112012824"
"45","Justification_for_the_state","30252","","10199","20211228015102"
"46","Totalitarianism","30439","","66946","20220121205816"
"47","White_supremacy","33178","","79230","20220122143054"
"48","Theories_of_political_behavior","37123","","16020","20220103155324"
"49","Communitarianism","43375","","38206","20220117092301"
"50","Social_Darwinism","45541","","71232","20220112002045"
"51","Social_capital","45802","","121486","20211105200425"
"52","Doomsday_Clock","47611","","41907","20220122200212"
"53","Neo-fascism","48755","","61001","20220115021940"
"54","Clash_of_Civilizations","48819","","47532","20211230001853"
"55","Referendum","51582","","27139","20211222000224"
"56","Multiculturalism","51885","","170160","20220123074854"
"57","Legislation","51913","","6681","20211208232256"
"58","Corporate_welfare","52221","","25493","20220120011023"
"59","Neo-Nazism","54361","","178102","20220116121652"
"60","Sturmabteilung","54378","","47533","20211216222901"
"61","List_of_kingdoms_and_royal_dynasties","58653","","19442","20220101120728"
"62","Independence","62450","","10415","20220116174459"
"63","Line-item_veto_in_the_United_States","62719","","16489","20220111211723"
"64","Dissent","63221","","13755","20211005234613"
"65","New_World_Syndrome","64073","","4429","20210418000300"
"66","Black_supremacy","65426","","12049","20211224084416"
"67","Mixed_economy","65668","","52378","20220101181633"
"68","Spin_(propaganda)","66252","","17485","20220122235120"
"69","Absolute_monarchy","67366","","30571","20220122231557"
"70","Rotokas_Record","72546","","1330","20210923143033"
"71","Veto","74661","","45836","20211226190559"
"72","List_of_treaties","77970","","220539","20220103094227"
"73","Domino_theory","79710","","36254","20220106104118"
"74","Social_control","81682","","31174","20220106071451"
"75","International_relations","82533","","75008","20220116203235"
"76","Neoliberalism","93088","","253925","20220120152302"
"77","Green_anarchism","98514","","107540","20220115173721"
"78","Viridian_design_movement","102668","","2754","20210103072157"
"79","Three_Principles_of_the_People","123510","","21649","20211225092846"
"80","Deliberation","151350","","9543","20210414053835"
"81","Statism","155577","","11837","20211203004130"
"82","Committee","158196","","26107","20211127121823"
"83","Reactionary","158226","","24115","20220110103412"
"84","Free_State_Project","163267","","36292","20220118232347"
"85","Cultural_diversity","164660","","17073","20211217211841"
"86","Laissez-faire","165451","","64072","20220102050928"
"87","Semi-direct_democracy","165893","","10657","20211212011523"
"88","Consensus_democracy","165903","","7558","20210922123842"
"89","List_of_micronations","166610","","61139","20220120160422"
"90","Original_position","166660","","14142","20211203173756"
"91","Scientism","167742","","49740","20211221224827"
"92","Political_culture_of_Canada","168486","","12765","20210704161323"
"93","Deliberative_democracy","168919","","36346","20211125223552"
"94","1965_in_politics","169119","","21611","20211208222015"
"95","Affair","169228","","8305","20211112223324"
"96","Imperium","169637","","12464","20220110192721"
"97","Authority","170653","","14267","20220115200048"
"98","Black_bloc","172543","","50380","20220121172428"
"99","Decadence","179339","","15734","20211008203528"
"100","Culture_war","181322","","59077","20211223192631"
"101","Biculturalism","181435","","4399","20211025193520"
"102","Philosemitism","182894","","7597","20211127110616"
"103","Oil_imperialism_theories","184438","","2173","20210813041435"
"104","Anti-LGBT_rhetoric","187923","","113304","20220115032522"
"105","Bioregionalism","191827","","12701","20220107152642"
"106","Militarism","199160","","36947","20220119140542"
"107","Pluralism_(political_philosophy)","201537","","9875","20220103100102"
"108","Suffering","206583","","45247","20211207162806"
"109","Leader_of_the_Opposition","208564","","7464","20220116205912"
"110","Social_credit","208697","","82891","20220114181119"
"111","Populism","211484","","196907","20220117232426"
"112","Good_governance","213383","","28870","20211217061932"
"113","Libertarian_perspectives_on_capital_punishment","215699","","3954","20211217163125"
"114","Public_opinion","216170","","34821","20220103045505"
"115","Political_history","221737","","18290","20211219020413"
"116","Welfare_state","222839","","96910","20220120223508"
"117","Juche","225153","","61806","20220120205447"
"118","Legalism_(Chinese_philosophy)","226125","","171122","20211224223046"
"119","Pocket_veto","226669","","17636","20220111174211"
"120","Power_(international_relations)","228753","","39422","20211217215611"
"121","Frankfurt_School","229236","","42656","20220120030856"
"122","Social_movement","234984","","63605","20211230033323"
"123","Political_scandal","235230","","6516","20211215094257"
"124","Peronism","242379","","28960","20220122201526"
"125","Iran_hostage_crisis","243433","","100736","20220119035917"
"126","List_of_\"-gate\"_scandals_and_controversies","243541","","239373","20220111165912"
"127","A_Theory_of_Justice","243665","","26211","20211208173614"
"128","Enlightened_absolutism","256749","","17541","20220119113848"
"129","List_of_electoral_systems_by_country","261710","","118401","20220121193609"
"130","President_of_Lithuania","273654","","8267","20211230024355"
"131","Power_vacuum","278439","","4726","20211230000617"
"132","Party_platform","284941","","7923","20211208232241"
"133","Blueshirts","286216","","37092","20211218130728"
"134","Councillor","286413","","9760","20220120111002"
"135","Separatism","286527","","42399","20220115232908"
"136","Third_Way","292269","","79431","20220123131249"
"137","Institution","294833","","40148","20220114143236"
"138","Hypodermic_needle_model","295248","","16359","20210305172622"
"139","Southern_Agrarians","295734","","16185","20211208014629"
"140","Public_reason","296083","","4747","20211024143811"
"141","Mao_suit","297351","","11992","20220121163740"
"142","Two-step_flow_of_communication","300545","","19470","20211204025304"
"143","Paternalism","306053","","10662","20211213012426"
"144","American_exceptionalism","312898","","86487","20220121024643"
"145","Calendar_reform","315929","","27648","20211113003043"
"146","Science_policy","317282","","27177","20211006120904"
"147","Merchandization","320299","","2781","20200804161012"
"148","Radical_centrism","322830","","105814","20220113202802"
"149","Centralisation","323090","","10754","20211114070032"
"150","Structural_functionalism","323779","","50868","20220122023418"
"151","Gabo_Reform","327620","","24847","20210505162919"
"152","Democratization","331299","","85141","20220112160344"
"153","Secularization","333225","","38592","20211227123923"
"154","Phrygian_cap","336573","","29066","20220109140518"
"155","Public_interest","340401","","7093","20220116061604"
"156","Labour_Party_Conference","343806","","77376","20220123124532"
"157","Economic_freedom","345419","","32832","20211027235259"
"158","Politicization_of_science","345803","","64374","20220114194442"
"159","Redshirts_(Italy)","348010","","9717","20220110051624"
"160","Tyranny_of_the_majority","348853","","24124","20210924163522"
"161","Anti-Federalism","349889","","21244","20220114161135"
"162","Reform","350685","","2503","20211020113306"
"163","Gothi","350900","","9755","20220105101354"
"164","Transparency_(behavior)","351227","","24345","20220115063114"
"165","Sino-Soviet_split","353811","","66608","20220118074029"
"166","Antagonistic_contradiction","357308","","3304","20210629181326"
"167","Favorite_son","359763","","6669","20220102033020"
"168","Supremacism","360876","","35120","20220122211653"
"169","Crossing_the_floor","362102","","9796","20220119151946"
"170","Starve_the_beast","363736","","15621","20220106202423"
"171","Interregnum","368411","","18689","20211029045723"
"172","Jacksonian_democracy","372347","","43673","20220102013655"
"173","Policy","375091","","29004","20220122091709"
"174","Right_of_conquest","391190","","5492","20220113020322"
"175","Democratic_Representative_Caucus","394966","","10013","20211212002128"
"176","Propaganda_model","397917","","41168","20220112051322"
"177","Campaign_management_tools","399021","","2733","20140113195404"
"178","Corporate_nationalism","408891","","4910","20210919002625"
"179","Golden_age_of_Jewish_culture_in_Spain","411091","","18072","20210921043840"
"180","Democratic_peace_theory","412326","","157824","20220123031851"
"181","Puppet_ruler","416518","","6252","20211213004116"
"182","National_Conservative_Convention","417377","","12250","20210731174105"
"183","Systematic_ideology","419841","","11110","20200407201939"
"184","Political_colour","423388","","63361","20220114042920"
"185","Compassionate_conservatism","424141","","26385","20220106221521"
"186","Maiden_speech","427280","","4461","20211230092948"
"187","Extremism","428002","","19881","20220115074025"
"188","Workplace_politics","438443","","16125","20220119083907"
"189","Führerprinzip","440006","","16731","20220118141447"
"190","Informbiro_period","444914","","51008","20211212184105"
"191","Affirmative_action_bake_sale","453503","","6767","20211105175004"
"192","Seniority","454355","","9646","20211228112459"
"193","Majority_government","465640","","2381","20211031215953"
"194","Movement_for_Democracy_in_Liberia","469647","","3017","20200415182227"
"195","Prime_Minister's_Office","473290","","1315","20201003040710"
"196","Sectionalism","479232","","8055","20220113163755"
"197","Ginger_Group","484772","","4187","20210929172646"
"198","Consequentialist_justifications_of_the_state","486450","","3095","20210927171038"
"199","Political_commissar","488594","","16259","20220113092937"
"200","Managing_the_news","506714","","1584","20210206025355"
"201","Caesaropapism","509436","","25211","20211224013403"
"202","Prime_Minister_of_Dominica","516202","","2817","20220123114229"
"203","Split_vote","538387","","1139","20190514000309"
"204","Two_Whatevers","539766","","2466","20210927234115"
"205","Behavioralism","540715","","15945","20211030084728"
"206","National_power","547033","","3644","20210115110421"
"207","Revanchism","551315","","21432","20220102163207"
"208","Kyklos","552270","","8472","20210915232533"
"209","Music_and_politics","557746","","100060","20220117092829"
"210","Kiruna_Party","562065","","2102","20200817104507"
"211","Common_front","568789","","1240","20210821051501"
"212","Solidarité_Française","571301","","2329","20210609074040"
"213","Legitimacy_(political)","574823","","26632","20220118204612"
"214","Political_polarization","584318","","62414","20220118234111"
"215","Neo-feudalism","586814","","21142","20220106185807"
